DIVISION,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
MYMENSINGH,2026,2,1,0,0.0,13.272727272727273,20,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
MYMENSINGH,2026,3,2,1,1.0,13.272727272727273,20,1.0,0.0,1.0,1,0.7557495743542583,0.6548607339452851
MYMENSINGH,2026,4,0,0,2.0,13.272727272727273,20,2.0,1.0,3.0,1,0.9096319953545183,0.41541501300188644
MYMENSINGH,2026,5,3,1,0.0,13.272727272727273,20,0.0,2.0,3.0,0,0.9898214418809327,0.14231483827328512
MYMENSINGH,2026,6,1,0,3.0,13.272727272727273,20,3.0,0.0,5.0,1,0.9898214418809328,-0.142314838273285
MYMENSINGH,2026,7,3,1,1.0,13.272727272727273,20,1.0,3.0,4.0,1,0.9096319953545184,-0.4154150130018863
MYMENSINGH,2026,8,3,1,3.0,13.272727272727273,20,3.0,1.0,7.0,1,0.7557495743542583,-0.654860733945285
MYMENSINGH,2026,9,11,1,3.0,13.272727272727273,20,3.0,3.0,7.0,1,0.5406408174555978,-0.8412535328311811
MYMENSINGH,2026,10,11,1,11.0,13.272727272727273,20,11.0,3.0,17.0,1,0.28173255684142967,-0.9594929736144974
MYMENSINGH,2026,11,4,1,11.0,13.272727272727273,20,11.0,11.0,25.0,1,5.66553889764798e-16,-1.0
MYMENSINGH,2026,12,14,1,4.0,13.272727272727273,20,4.0,11.0,26.0,1,-0.2817325568414294,-0.9594929736144975
MYMENSINGH,2026,13,41,1,14.0,13.272727272727273,20,14.0,4.0,29.0,1,-0.5406408174555976,-0.8412535328311812
MYMENSINGH,2026,14,16,1,41.0,13.272727272727273,20,41.0,14.0,59.0,1,-0.7557495743542582,-0.6548607339452852
MYMENSINGH,2026,15,6,1,16.0,13.272727272727273,20,16.0,41.0,71.0,1,-0.909631995354518,-0.41541501300188716
MYMENSINGH,2026,16,27,1,6.0,13.272727272727273,20,6.0,16.0,63.0,1,-0.9898214418809327,-0.14231483827328523
MYMENSINGH,2026,17,44,1,27.0,13.272727272727273,20,27.0,6.0,49.0,1,-0.9898214418809328,0.14231483827328487
MYMENSINGH,2026,18,10,1,44.0,13.272727272727273,20,44.0,27.0,77.0,1,-0.9096319953545186,0.41541501300188605
MYMENSINGH,2026,19,6,1,10.0,13.272727272727273,20,10.0,44.0,81.0,1,-0.7557495743542587,0.6548607339452845
MYMENSINGH,2026,20,65,1,6.0,13.272727272727273,20,6.0,10.0,60.0,1,-0.5406408174555974,0.8412535328311812
MYMENSINGH,2026,21,18,1,65.0,13.272727272727273,20,65.0,6.0,81.0,1,-0.2817325568414298,0.9594929736144974
MYMENSINGH,2026,22,6,1,18.0,13.272727272727273,20,18.0,65.0,89.0,1,-1.133107779529596e-15,1.0
RAJSHAHI,2026,1,1,0,0.0,16.363636363636363,21,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
RAJSHAHI,2026,2,2,1,1.0,16.363636363636363,21,1.0,0.0,1.0,1,0.5406408174555976,0.8412535328311812
RAJSHAHI,2026,3,2,1,2.0,16.363636363636363,21,2.0,1.0,3.0,1,0.7557495743542583,0.6548607339452851
