DISTRICT,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
BARISAL CC.,2026,10,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
BARISAL CC.,2026,11,2,1,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
BARISAL CC.,2026,12,3,1,2.0,1.2727272727272727,7,BARISAL,2.0,0.0,2.0,1,-0.2817325568414294,-0.9594929736144975
BARISAL CC.,2026,13,4,1,3.0,1.2727272727272727,7,BARISAL,3.0,2.0,5.0,1,-0.5406408174555976,-0.8412535328311812
BARISAL CC.,2026,14,3,1,4.0,1.2727272727272727,7,BARISAL,4.0,3.0,9.0,1,-0.7557495743542582,-0.6548607339452852
BARISAL CC.,2026,15,0,0,3.0,1.2727272727272727,7,BARISAL,3.0,4.0,10.0,1,-0.909631995354518,-0.41541501300188716
BARISAL CC.,2026,16,6,1,0.0,1.2727272727272727,7,BARISAL,0.0,3.0,7.0,0,-0.9898214418809327,-0.14231483827328523
BARISAL CC.,2026,17,8,1,6.0,1.2727272727272727,7,BARISAL,6.0,0.0,9.0,1,-0.9898214418809328,0.14231483827328487
BARISAL CC.,2026,18,0,0,8.0,1.2727272727272727,7,BARISAL,8.0,6.0,14.0,1,-0.9096319953545186,0.41541501300188605
BARISAL CC.,2026,19,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,8.0,14.0,0,-0.7557495743542587,0.6548607339452845
BARISAL CC.,2026,20,2,1,0.0,1.2727272727272727,7,BARISAL,0.0,0.0,8.0,0,-0.5406408174555974,0.8412535328311812
BARISAL CC.,2026,21,0,0,2.0,1.2727272727272727,7,BARISAL,2.0,0.0,2.0,1,-0.2817325568414298,0.9594929736144974
BARISAL CC.,2026,22,0,0,0.0,1.2727272727272727,7,BARISAL,0.0,2.0,2.0,0,-1.133107779529596e-15,1.0
BHOLA,2026,1,0,0,0.0,4.590909090909091,13,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BHOLA,2026,2,0,0,0.0,4.590909090909091,13,BARISAL,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BHOLA,2026,3,0,0,0.0,4.590909090909091,13,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BHOLA,2026,4,1,0,0.0,4.590909090909091,13,BARISAL,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BHOLA,2026,5,0,0,1.0,4.590909090909091,13,BARISAL,1.0,0.0,1.0,1,0.9898214418809327,0.14231483827328512
