TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,NPV,F1,balanced_accuracy,MCC,FPR,FNR,ROC_AUC,PR_AUC,threshold
256,213,85,778,0.7762762762762763,0.9015063731170336,0.5458422174840085,0.7850655903128153,0.750733137829912,0.8392664509169363,0.7236742953005211,0.489580234364583,0.4541577825159915,0.0984936268829664,0.8482805308007225,0.9080105936573004,0.42
263,206,91,772,0.777027027027027,0.8945538818076477,0.5607675906183369,0.7893660531697342,0.7429378531073446,0.8386746333514394,0.7276607362129923,0.4923102663810525,0.43923240938166314,0.10544611819235226,0.8482805308007225,0.9080105936573004,0.44
273,196,97,766,0.78003003003003,0.8876013904982619,0.582089552238806,0.7962577962577962,0.7378378378378379,0.8394520547945206,0.734845471368534,0.5008591437621265,0.417910447761194,0.11239860950173812,0.8482805308007225,0.9080105936573004,0.46
283,186,107,756,0.78003003003003,0.8760139049826188,0.603411513859275,0.802547770700637,0.7256410256410256,0.8376731301939059,0.7397127094209469,0.5032167871938469,0.39658848614072495,0.12398609501738123,0.8482805308007225,0.9080105936573004,0.48
295,174,120,743,0.7792792792792793,0.8609501738122828,0.6289978678038379,0.8102508178844057,0.7108433734939759,0.8348314606741574,0.7449740208080604,0.5052811876206892,0.37100213219616207,0.13904982618771727,0.8482805308007225,0.9080105936573004,0.5
302,167,131,732,0.7762762762762763,0.8482039397450754,0.6439232409381663,0.814238042269188,0.6974595842956121,0.8308740068104427,0.7460635903416208,0.5018170088026523,0.35607675906183367,0.15179606025492468,0.8482805308007225,0.9080105936573004,0.52
311,158,142,721,0.7747747747747747,0.8354577056778679,0.6631130063965884,0.820250284414107,0.6865342163355408,0.8277841561423652,0.7492853560372281,0.5026608293939858,0.3368869936034115,0.1645422943221321,0.8482805308007225,0.9080105936573004,0.54
317,152,153,710,0.771021021021021,0.8227114716106605,0.67590618336887,0.8236658932714617,0.674468085106383,0.8231884057971014,0.7493088274897652,0.498375758002318,0.32409381663113007,0.1772885283893395,0.8482805308007225,0.9080105936573004,0.56
328,141,163,700,0.7717717717717718,0.8111239860950173,0.6993603411513859,0.8323424494649228,0.6680244399185336,0.8215962441314554,0.7552421636232016,0.5054002917522795,0.3006396588486141,0.18887601390498263,0.8482805308007225,0.9080105936573004,0.58
340,129,180,683,0.7680180180180181,0.7914252607184241,0.7249466950959488,0.8411330049261084,0.6538461538461539,0.8155223880597016,0.7581859779071864,0.5055624158326903,0.27505330490405117,0.2085747392815759,0.8482805308007225,0.9080105936573004,0.6
350,119,190,673,0.7680180180180181,0.779837775202781,0.746268656716418,0.8497474747474747,0.6481481481481481,0.8132930513595166,0.7630532159595995,0.5118066916618063,0.2537313432835821,0.220162224797219,0.8482805308007225,0.9080105936573004,0.62
366,103,213,650,0.7627627627627628,0.7531865585168018,0.7803837953091685,0.8632138114209827,0.6321243523316062,0.8044554455445544,0.7667851769129852,0.5140989781131405,0.21961620469083157,0.24681344148319814,0.8482805308007225,0.9080105936573004,0.64
380,89,237,626,0.7552552552552553,0.7253765932792584,0.8102345415778252,0.8755244755244755,0.6158833063209076,0.7934093789607097,0.7678055674285418,0.5130336048562587,0.18976545842217485,0.2746234067207416,0.8482805308007225,0.9080105936573004,0.66
384,85,262,601,0.7394894894894894,0.6964078794901506,0.8187633262260128,0.8760932944606414,0.5944272445820433,0.7759845061329891,0.7575856028580816,0.4923399571564744,0.1812366737739872,0.30359212050984935,0.8482805308007225,0.9080105936573004,0.68
395,74,289,574,0.7274774774774775,0.6651216685979142,0.8422174840085288,0.8858024691358025,0.577485380116959,0.7597617471872933,0.7536695763032215,0.4848134330366245,0.15778251599147122,0.3348783314020857,0.8482805308007225,0.9080105936573004,0.7
408,61,311,552,0.7207207207207207,0.6396292004634995,0.8699360341151386,0.9004893964110929,0.5674547983310153,0.7479674796747967,0.7547826172893191,0.48831147166892797,0.1300639658848614,0.3603707995365006,0.8482805308007225,0.9080105936573004,0.72
413,56,336,527,0.7057057057057057,0.6106604866743917,0.8805970149253731,0.9039451114922813,0.5514018691588785,0.7289073305670816,0.7456287507998824,0.4729615418569307,0.11940298507462686,0.38933951332560834,0.8482805308007225,0.9080105936573004,0.74
424,45,365,498,0.6921921921921922,0.5770567786790266,0.9040511727078892,0.9171270718232044,0.5373891001267427,0.7083926031294453,0.7405539756934578,0.4676230793695519,0.09594882729211088,0.42294322132097334,0.8482805308007225,0.9080105936573004,0.76
429,40,387,476,0.6794294294294294,0.5515643105446119,0.9147121535181236,0.9224806201550387,0.5257352941176471,0.6903553299492386,0.7331382320313677,0.4571570098376641,0.08528784648187633,0.4484356894553882,0.8482805308007225,0.9080105936573004,0.78
435,34,413,450,0.6644144144144144,0.5214368482039398,0.9275053304904051,0.9297520661157025,0.5129716981132075,0.6681514476614699,0.7244710893471724,0.4458221296354504,0.07249466950959488,0.47856315179606024,0.8482805308007225,0.9080105936573004,0.8
442,27,432,431,0.6554054054054054,0.49942062572421786,0.9424307036247335,0.9410480349344978,0.505720823798627,0.6525359576078728,0.7209256646744757,0.44430329071811414,0.057569296375266525,0.5005793742757821,0.8482805308007225,0.9080105936573004,0.82
445,24,466,397,0.6321321321321322,0.4600231749710313,0.9488272921108742,0.9429928741092637,0.4884742041712404,0.618380062305296,0.7044252335409528,0.4200065671932394,0.0511727078891258,0.5399768250289687,0.8482805308007225,0.9080105936573004,0.84
450,19,488,375,0.6193693693693694,0.43453070683661643,0.9594882729211087,0.9517766497461929,0.47974413646055436,0.5966587112171837,0.6970094898788626,0.4123437642616098,0.04051172707889126,0.5654692931633836,0.8482805308007225,0.9080105936573004,0.86
455,14,525,338,0.5953453453453453,0.39165701042873696,0.9701492537313433,0.9602272727272727,0.4642857142857143,0.5563786008230452,0.6809031320800402,0.3919074609121463,0.029850746268656716,0.608342989571263,0.8482805308007225,0.9080105936573004,0.88
457,12,555,308,0.5743243243243243,0.35689455388180763,0.9744136460554371,0.9625,0.4515810276679842,0.5207100591715976,0.6656540999686223,0.3703895785586364,0.0255863539445629,0.6431054461181923,0.8482805308007225,0.9080105936573004,0.9
