,0
upzmunc_DAULATPUR_KUS,9.151116e-05
upzmunc_SATKANIA,8.5033505e-05
upzmunc_GOMASTAPUR,8.251124e-05
upzmunc_LAKSHMIPUR SADAR,7.282075e-05
upzmunc_RAJSHAHI CC.,7.239068e-05
upzmunc_CHAUDDAGRAM,7.035786e-05
upzmunc_PEKUA,6.733136e-05
upzmunc_UKHIA,6.0625596e-05
upzmunc_KUMARKHALI,5.8694917e-05
district_MANIKGANJ,4.24232e-05
upzmunc_ISHWARDI,3.2424297e-05
upzmunc_GURUDASPUR,3.1288273e-05
upzmunc_ARAIHAZAR,2.9908275e-05
upzmunc_DERAI,2.6392376e-05
upzmunc_DAGANBHUIYAN,2.2881775e-05
upzmunc_SINGRA,1.38787045e-05
upzmunc_BAKSHIGANJ,0.0
upzmunc_BHANGURA,0.0
upzmunc_BHERAMARA,0.0
upzmunc_BHOLAHAT,0.0
upzmunc_BHUAPUR,0.0
upzmunc_BHURUNGAMARI,0.0
upzmunc_BIJOYNAGAR,0.0
upzmunc_BIRAL,0.0
upzmunc_BASAIL,0.0
upzmunc_BHANDARIA,0.0
upzmunc_ASSASUNI,0.0
district_NARAYANGANJ CC.,0.0
district_NARAIL,0.0
upzmunc_BAKERGANJ MUN.,0.0
district_SYLHET CC.,0.0
district_RAJSHAHI CC.,0.0
upzmunc_BAJITPUR,0.0
upzmunc_BAHUBAL,0.0
upzmunc_BAGHMARA,0.0
upzmunc_BEANIBAZAR,0.0
upzmunc_CHAR BHADRASAN,0.0
upzmunc_ZAKIGANJ,0.0
upzmunc_WAZIRPUR,0.0
upzmunc_TUNGIPARA,0.0
upzmunc_KAZIPUR,0.0
upzmunc_KAWKHALI_PRJ,0.0
upzmunc_KAUNIA,0.0
upzmunc_KATIADI,0.0
upzmunc_JOYPURHAT SADAR,0.0
upzmunc_JOINTAPUR,0.0
upzmunc_JIBAN NAGAR,0.0
upzmunc_JHENAIGATI,0.0
upzmunc_JHENAIDAH SADAR,0.0
upzmunc_JHENAIDAH MUN.,0.0
upzmunc_GHORAGHAT,0.0
district_Sunamganj,0.0
upzmunc_BAGERHAT SADAR,0.0
upzmunc_BADARGANJ,0.0
upzmunc_BADALGACHHI,0.0
upzmunc_BABUGANJ,0.0
upzmunc_KURIGRAM MUN.,0.0
upzmunc_KULAURA,0.0
upzmunc_KOYRA,0.0
upzmunc_KOTCHANDPUR,0.0
upzmunc_KOMOLNAGAR,0.0
upzmunc_KISHOREGANJ,0.0
upzmunc_KALIGANJ_LAL,0.0
upzmunc_AGAILJHARA,0.0
upzmunc_ADAMDIGHI,0.0
upzmunc_ABHAYNAGAR,0.0
upzmunc_HATHAZARI,0.0
upzmunc_KALAROA,0.0
upzmunc_KALAPARA,0.0
upzmunc_KALAI,0.0
upzmunc_KAHALOO,0.0
upzmunc_KESHABPUR,0.0
upzmunc_JALDHAKA,0.0
upzmunc_JAGANNATHPUR,0.0
upzmunc_ITNA,0.0
upzmunc_GAZARIA,0.0
upzmunc_GAURNADI,0.0
upzmunc_ASHUGANJ,0.0
upzmunc_ANOWARA,0.0
upzmunc_AMTALI,0.0
upzmunc_KALIGANJ_JHE,0.0
upzmunc_KALIGANJ_GAZ,0.0
upzmunc_KALIGANJ MUN.,0.0
upzmunc_JHALAKATHI SADAR,0.0
upzmunc_KANTHALIA,0.0
upzmunc_KANAIGHAT,0.0
upzmunc_KAMARKHANDA,0.0
